//single phase coef Number:=28,    upsample factor:=160,     downsample factor:=147
    1,  -85, -191,  205, -283,  399, -557,  764,-1040, 1419,-1974, 2883,-4749,11585,27859,-6008, 3146,-1970, 1312, -886,  592, -382,  232, -128,   60,  -14, -181,   -8,
    1,  -83, -193,  205, -281,  397, -552,  756,-1028, 1401,-1945, 2838,-4665,11315,28033,-5940, 3101,-1939, 1288, -869,  578, -372,  224, -122,   56,  -11, -182,   -9,
    1,  -82, -194,  205, -280,  394, -547,  748,-1015, 1382,-1917, 2792,-4580,11044,28203,-5869, 3055,-1906, 1264, -851,  565, -362,  217, -117,   52,   -7, -183,   -9,
    1,  -81, -196,  205, -279,  391, -542,  740,-1003, 1363,-1888, 2745,-4494,10775,28369,-5795, 3007,-1873, 1240, -832,  551, -351,  209, -111,   48,   -4, -185,   -9,
    1,  -79, -197,  204, -277,  388, -537,  731, -990, 1343,-1858, 2698,-4407,10506,28533,-5718, 2958,-1838, 1215, -814,  537, -341,  202, -106,   43,   -1, -186,  -10,
    1,  -78, -198,  204, -276,  385, -531,  723, -976, 1323,-1827, 2649,-4319,10237,28693,-5637, 2907,-1803, 1189, -795,  523, -330,  194, -100,   39,    3, -187,  -10,
    1,  -77, -200,  204, -274,  382, -526,  714, -962, 1302,-1796, 2600,-4230, 9969,28850,-5554, 2855,-1767, 1163, -775,  508, -319,  186,  -94,   35,    6, -188,  -10,
    1,  -76, -201,  203, -273,  379, -520,  705, -948, 1281,-1765, 2551,-4140, 9702,29004,-5468, 2802,-1730, 1136, -755,  494, -308,  178,  -88,   31,   10, -190,  -11,
    1,  -74, -202,  202, -271,  375, -514,  695, -934, 1260,-1733, 2500,-4049, 9436,29154,-5379, 2747,-1693, 1109, -735,  479, -297,  169,  -82,   26,   13, -191,  -11,
    1,  -73, -203,  202, -269,  372, -508,  686, -920, 1238,-1700, 2449,-3957, 9171,29301,-5287, 2691,-1654, 1081, -715,  463, -286,  161,  -76,   22,   16, -192,  -12,
    1,  -72, -204,  201, -267,  368, -502,  676, -905, 1216,-1667, 2397,-3864, 8906,29445,-5192, 2633,-1615, 1053, -694,  448, -274,  153,  -70,   18,   20, -193,  -12,
    1,  -71, -206,  200, -265,  364, -495,  666, -890, 1194,-1634, 2345,-3771, 8642,29585,-5094, 2574,-1575, 1024, -673,  432, -263,  144,  -64,   13,   23, -194,  -12,
    1,  -69, -207,  199, -263,  360, -489,  655, -874, 1171,-1600, 2292,-3677, 8380,29721,-4993, 2513,-1534,  995, -651,  416, -251,  136,  -58,    9,   27, -195,  -13,
    1,  -68, -208,  198, -260,  356, -482,  645, -859, 1148,-1565, 2238,-3582, 8118,29854,-4889, 2452,-1492,  965, -629,  400, -239,  127,  -52,    4,   30, -196,  -13,
    1,  -67, -209,  197, -258,  352, -475,  634, -843, 1124,-1530, 2184,-3487, 7858,29983,-4782, 2388,-1449,  934, -607,  383, -227,  118,  -45,    0,   33, -198,  -14,
    1,  -66, -210,  196, -256,  347, -468,  624, -826, 1101,-1495, 2130,-3391, 7598,30109,-4671, 2324,-1406,  903, -584,  367, -215,  109,  -39,   -5,   37, -199,  -14,
    1,  -65, -210,  195, -253,  343, -461,  613, -810, 1077,-1460, 2074,-3294, 7340,30231,-4558, 2258,-1362,  872, -561,  350, -202,  100,  -33,   -9,   40, -200,  -15,
    1,  -64, -211,  194, -251,  339, -454,  601, -793, 1052,-1423, 2019,-3197, 7083,30349,-4442, 2191,-1317,  840, -538,  333, -190,   92,  -26,  -14,   44, -201,  -15,
    1,  -62, -212,  193, -248,  334, -446,  590, -777, 1027,-1387, 1963,-3099, 6828,30464,-4323, 2123,-1271,  808, -514,  316, -177,   82,  -20,  -18,   47, -202,  -16,
    1,  -61, -213,  192, -245,  329, -439,  578, -759, 1003,-1350, 1906,-3001, 6574,30575,-4201, 2053,-1225,  775, -491,  298, -165,   73,  -13,  -23,   50, -203,  -16,
    1,  -60, -214,  190, -243,  324, -431,  567, -742,  977,-1313, 1849,-2903, 6321,30683,-4076, 1982,-1178,  742, -467,  281, -152,   64,   -7,  -27,   54, -204,  -17,
